Done	URL	Name	Filename	Host	From	To	
X	https://ablis.business.gov.au/	BusinessAU	BusinessAU	ablis.business.gov.au	http://(?:www\.)ablis.business.gov.au/	https://ablis.business.gov.au/	
X	https://abr.business.gov.au/	BusinessAU	BusinessAU	abr.business.gov.au	http://(?:www\.)abr.business.gov.au/	https://abr.business.gov.au/	
X	https://abr.gov.au/	Australian Business Register	AustralianBusinessRegister	abr.gov.au	http://(?:www\.)abr.gov.au/	https://abr.gov.au/	
HTTP	https://aciarblog.blogspot.com.au/	Australian Centre for International Agricultural Research (ACIAR)		aciarblog.blogspot.com.au	http://(?:www\.)aciarblog.blogspot.com.au/	https://aciarblog.blogspot.com.au/	
X	https://aei.gov.au/	Australian Education International	AustralianEducationInternational	aei.gov.au	http://(?:www\.)aei.gov.au/	https://aei.gov.au/	
G	https://agedcarecomplaints.govspace.gov.au/	Aged Care Complaints Scheme News	AgedCareComplaintsScheme	agedcarecomplaints.govspace.gov.au	http://(?:www\.)agedcarecomplaints.govspace.gov.au/	https://agedcarecomplaints.govspace.gov.au/	
G|MIX	https://aifs.govspace.gov.au/	CFCA Connect		aifs.govspace.gov.au	http://(?:www\.)aifs.govspace.gov.au/	https://aifs.govspace.gov.au/	
G	https://asada.govspace.gov.au/	Australian Sports Anti-Doping Authority	ASADA	asada.govspace.gov.au	http://(?:www\.)asada.govspace.gov.au/	https://asada.govspace.gov.au/	
X	https://asbestossafety.gov.au/	Asbestos Safety and Eradication Agency	AsbestosSafetyandEradicationAgency	asbestossafety.gov.au	http://(?:www\.)asbestossafety.gov.au/	https://asbestossafety.gov.au/	
404	https://asiancentury.dpmc.gov.au/	Australia in the Asian Century		asiancentury.dpmc.gov.au	http://(?:www\.)asiancentury.dpmc.gov.au/	https://asiancentury.dpmc.gov.au/	
HTTP	https://at-ease.dva.gov.au/	At Ease		at-ease.dva.gov.au	http://(?:www\.)at-ease.dva.gov.au/	https://at-ease.dva.gov.au/	
G	https://ausaid.govspace.gov.au/	AusAid		ausaid.govspace.gov.au	http://(?:www\.)ausaid.govspace.gov.au/	https://ausaid.govspace.gov.au/	
HTTP	https://auspost.com.au/	Australia Post	AustraliaPost	auspost.com.au	http://(?:www\.)auspost.com.au/	https://auspost.com.au/	
X	https://australia-unsc.gov.au/	Australia: Candidate for the United Nations Security Council 2013-14	AustraliaUNSC	australia-unsc.gov.au	http://(?:www\.)australia-unsc.gov.au/	https://australia-unsc.gov.au/	
NOTE	https://blogs.csiro.au/	blogs@CSIRO	CSIRO	blogs.csiro.au	http://(?:www\.)blogs.csiro.au/	https://blogs.csiro.au/	Mixed is just a font
X	https://budd-e.staysmartonline.gov.au/index.html	Budd:e Cybersecurity Builder	StaySmartOnline	budd-e.staysmartonline.gov.au	http://(?:www\.)budd-e.staysmartonline.gov.au/	https://budd-e.staysmartonline.gov.au/	
X	https://data.aad.gov.au/	Australian Antarctic Data Centre	AustralianAntarcticDataCentre	data.aad.gov.au	http://(?:www\.)data.aad.gov.au/	https://data.aad.gov.au/	
X	https://data.gov.au/	data.gov.au	DataGovAU	data.gov.au	http://(?:www\.)data.gov.au/	https://data.gov.au/	
G	https://dosomethingreal.govspace.gov.au/	Do something real		dosomethingreal.govspace.gov.au	http://(?:www\.)dosomethingreal.govspace.gov.au/	https://dosomethingreal.govspace.gov.au/	
DUPE	https://employment.gov.au/experience			employment.gov.au	http://(?:www\.)employment.gov.au/	https://employment.gov.au/	
DUPE	https://employment.gov.au/indigenous-cadetship-support-ics	Indigenous Cadetship Support		employment.gov.au	http://(?:www\.)employment.gov.au/	https://employment.gov.au/	
DUPE	https://employment.gov.au/occupational-health-and-safety-harmonisation	Occupational health and safety harmonisation		employment.gov.au	http://(?:www\.)employment.gov.au/	https://employment.gov.au/	
MIX	https://heritage-week.govspace.gov.au/	Australian Heritage Week		heritage-week.govspace.gov.au	http://(?:www\.)heritage-week.govspace.gov.au/	https://heritage-week.govspace.gov.au/	
G	https://homelessnessclearinghouse.govspace.gov.au/	Australian Homelessness Clearinghouse	AustralianHomelessnessClearinghouse	homelessnessclearinghouse.govspace.gov.au	http://(?:www\.)homelessnessclearinghouse.govspace.gov.au/	https://homelessnessclearinghouse.govspace.gov.au/	
X	https://hrep.nhmrc.gov.au/	Human Research Ethics Portal	HumanResearchEthicsPortal	hrep.nhmrc.gov.au	http://(?:www\.)hrep.nhmrc.gov.au/	https://hrep.nhmrc.gov.au/	
DUPE	https://innovation.govspace.gov.au/category/innovation-showcase/	Innovation showcase		innovation.govspace.gov.au	http://(?:www\.)innovation.govspace.gov.au/	https://innovation.govspace.gov.au/	
DUPE	https://innovation.govspace.gov.au/blog/	Public Sector Innovation blog		innovation.govspace.gov.au	http://(?:www\.)innovation.govspace.gov.au/	https://innovation.govspace.gov.au/	
G	https://innovation.govspace.gov.au/	Public Sector Innovation Toolkit	PublicSectorInnovationToolkit	innovation.govspace.gov.au	http://(?:www\.)innovation.govspace.gov.au/	https://innovation.govspace.gov.au/	
X	https://insolvencynotices.asic.gov.au/	Insolvency notices	ASIC	insolvencynotices.asic.gov.au	http://(?:www\.)insolvencynotices.asic.gov.au/	https://insolvencynotices.asic.gov.au/	
X	https://invest.dha.gov.au/	Defence Housing Australia (residential property investment)	DefenceHousingAustralia	invest.dha.gov.au	http://(?:www\.)invest.dha.gov.au/	https://invest.dha.gov.au/	
X	https://learning.ausport.gov.au/	Australian Sports Commission Learning Portal	AustralianSportsCommissionLearningPortal	learning.ausport.gov.au	http://(?:www\.)learning.ausport.gov.au/	https://learning.ausport.gov.au/	
HTTP	https://lobbyists.pmc.gov.au/	Australian Government Lobbyists Register		lobbyists.pmc.gov.au	http://(?:www\.)lobbyists.pmc.gov.au/	https://lobbyists.pmc.gov.au/	
X	https://mhsa.aihw.gov.au/	Mental health services in Australia	MentalHealthServicesinAustralia	mhsa.aihw.gov.au	http://(?:www\.)mhsa.aihw.gov.au/	https://mhsa.aihw.gov.au/	
DUPE	https://ministers.education.gov.au/pyne	Minister for Education		ministers.education.gov.au	http://(?:www\.)ministers.education.gov.au/	https://ministers.education.gov.au/	
DUPE	https://ministers.education.gov.au/ryan	Parliamentary Secretary to the Minister for Education		ministers.education.gov.au	http://(?:www\.)ministers.education.gov.au/	https://ministers.education.gov.au/	
DUPE	https://ministers.education.gov.au/ley	Assistant Minister for Education		ministers.education.gov.au	http://(?:www\.)ministers.education.gov.au/	https://ministers.education.gov.au/	
DUPE	https://ministers.employment.gov.au/hartsuyker	Assistant Minister for Employment		ministers.employment.gov.au	http://(?:www\.)ministers.employment.gov.au/	https://ministers.employment.gov.au/	
DUPE	https://ministers.employment.gov.au/abetz	Minister for Employment		ministers.employment.gov.au	http://(?:www\.)ministers.employment.gov.au/	https://ministers.employment.gov.au/	
G	https://mtpc.govspace.gov.au/	Maritime Travellers Processing Committee (MTPC)		mtpc.govspace.gov.au	http://(?:www\.)mtpc.govspace.gov.au/	https://mtpc.govspace.gov.au/	
G|MIX	https://nccgr.govspace.gov.au/home/	National Coordinating Committee for Government Radiocommunications		nccgr.govspace.gov.au	http://(?:www\.)nccgr.govspace.gov.au/	https://nccgr.govspace.gov.au/	
G	https://ndoch.govspace.gov.au/	National Disability Organisations&apos; Clearinghouse		ndoch.govspace.gov.au	http://(?:www\.)ndoch.govspace.gov.au/	https://ndoch.govspace.gov.au/	
X	https://outreach.atnf.csiro.au/	Australia Telescope Outreach and Education	CISRO	outreach.atnf.csiro.au	http://(?:www\.)outreach.atnf.csiro.au/	https://outreach.atnf.csiro.au/	
X	https://prisms.deewr.gov.au/Logon/Logon.aspx	Provider Registration and International Students Management System	DEEWR	prisms.deewr.gov.au	http://(?:www\.)prisms.deewr.gov.au/	https://prisms.deewr.gov.au/	
HTTP	https://recollections.nma.gov.au/	Recollections: a journal of museums and collections		recollections.nma.gov.au	http://(?:www\.)recollections.nma.gov.au/	https://recollections.nma.gov.au/	
G	https://resilientcommunities.govspace.gov.au/	Resilient Communities		resilientcommunities.govspace.gov.au	http://(?:www\.)resilientcommunities.govspace.gov.au/	https://resilientcommunities.govspace.gov.au/	
X	https://ret.cleanenergyregulator.gov.au/	Clean Energy Regulator	CleanEnergyRegulator	ret.cleanenergyregulator.gov.au	http://((?:www|ret)\.)?cleanenergyregulator.gov.au/	https://$1cleanenergyregulator.gov.au/	
G	https://ruralchampions.govspace.gov.au/	Rural health &#x2013; a life changing difference		ruralchampions.govspace.gov.au	http://(?:www\.)ruralchampions.govspace.gov.au/	https://ruralchampions.govspace.gov.au/	
X	https://schools.aemi.edu.au/	Disaster resilience education for schools	AEMI	schools.aemi.edu.au	http://(?:www\.)schools.aemi.edu.au/	https://schools.aemi.edu.au/	
HTTP	https://shapeup.gov.au/	Shape Up Australia		shapeup.gov.au	http://(?:www\.)shapeup.gov.au/	https://shapeup.gov.au/	
G	https://skillselect.govspace.gov.au/	SkillSelect Support		skillselect.govspace.gov.au	http://(?:www\.)skillselect.govspace.gov.au/	https://skillselect.govspace.gov.au/	
X	https://theaustralianalps.wordpress.com/	Australian Alps National Parks	AustralianAlpsNationalParks	theaustralianalps.wordpress.com	http://(?:www\.)theaustralianalps.wordpress.com/	https://theaustralianalps.wordpress.com/	
MIX	https://training.gov.au/	Training.gov.au		training.gov.au	http://(?:www\.)training.gov.au/	https://training.gov.au/	
X	https://www.aacqa.gov.au/	Australian Aged Care Quality Agency	AACQA	www.aacqa.gov.au	http://(?:www\.)www.aacqa.gov.au/	https://www.aacqa.gov.au/	
HTTP	https://www.aao.gov.au/	Australian Astronomical Observatory	AustralianAstronomicalObservatory	www.aao.gov.au	http://(?:www\.)www.aao.gov.au/	https://www.aao.gov.au/	
X	https://www.accc.gov.au/	Australian Competition and Consumer Commission (ACCC)	AustralianCompetitionandConsumerCommissionACCC	www.accc.gov.au	http://(?:www\.)www.accc.gov.au/	https://www.accc.gov.au/	
X	https://www.accesstojustice.gov.au/	Access to Justice	AccesstoJustice	www.accesstojustice.gov.au	http://(?:www\.)www.accesstojustice.gov.au/	https://www.accesstojustice.gov.au/	
X	https://www.ada.edu.au/	Australian Data Archive (ADA)	AustralianDataArchiveADA	www.ada.edu.au	http://(?:www\.)www.ada.edu.au/	https://www.ada.edu.au/	
NOTES	https://www.aecl.org/	Australian Egg Corporation Ltd	AustralianEggCorporationLtd	www.aecl.org	http://(?:www\.)www.aecl.org/	https://www.aecl.org/	Only a font blocked
X	https://www.aedc.gov.au/	Australian Early Development Census (AEDC)	AustralianEarlyDevelopmentCensusAEDC	www.aedc.gov.au	http://(?:www\.)www.aedc.gov.au/	https://www.aedc.gov.au/	
X	https://www.aer.gov.au/	Australian Energy Regulator (AER)	AustralianEnergyRegulatorAER	www.aer.gov.au	http://(?:www\.)www.aer.gov.au/	https://www.aer.gov.au/	
X	https://www.afsa.gov.au/	Australian Financial Security Authority	AustralianFinancialSecurityAuthority	www.afsa.gov.au	http://(?:www\.)www.afsa.gov.au/	https://www.afsa.gov.au/	
MIX	https://www.aftrs.edu.au/	Australian Film Television and Radio School (AFTRS)	AustralianFilmTelevisionandRadioSchoolAFTRS	www.aftrs.edu.au	http://(?:www\.)www.aftrs.edu.au/	https://www.aftrs.edu.au/	
X	https://www.ag.gov.au/	Attorney-General&apos;s Department (AG)	Attorney-GeneralapossDepartmentAG	www.ag.gov.au	http://(?:www\.)www.ag.gov.au/	https://www.ag.gov.au/	
HTTP	https://www.ahm.com.au/	ahm - Health Insurance	ahm-HealthInsurance	www.ahm.com.au	http://(?:www\.)www.ahm.com.au/	https://www.ahm.com.au/	
